"Identificador de URL";Nombre;Categorías;"Nombre de propiedad 1";"Valor de propiedad 1";"Nombre de propiedad 2";"Valor de propiedad 2";"Nombre de propiedad 3";"Valor de propiedad 3";Precio;"Precio promocional";"Peso (kg)";"Alto (cm)";"Ancho (cm)";"Profundidad (cm)";Stock;SKU;"Código de barras";"Mostrar en tienda";"Envío sin cargo";Descripción;Tags;"Título para SEO";"Descripción para SEO";Marca;"Producto Físico";"MPN (Número de pieza del fabricante)";Sexo;"Rango de edad";Costo
molde-silicona-esfera-7-cm-diseno-geometrico-19lja;"Molde Silicona Esfera 7 cm - Diseño Geométrico";"Moldes de Silicona ";;;;;;;8,500.00;8,000.00;0.05;7.00;7.00;1.00;10;"Esfera 7cm";;SI;NO;;"argentina, bases para dijes, bola decorativa, buenos aires, circulo, collares, comprar moldes argentina, comprar online argentina, diamantes, dije, envio argentina, esfera, esfera resina, esfera vidrio, formas, molde acabado brillante, molde alta calidad, molde de dije, molde de esfera, molde duradero, molde flexible, molde llavero, molde manualidades, molde para llaveros, molde profesional, molde resina epoxi, molde reutilizable, molde silicona, molde silicona para resina, molde silicona para resina epoxi, moldes para emprender, moldes para vender, moldes resina, moldes silicona, moldes silicona argentina";"Molde Silicona Esfera 7 cm - Diseño Geométrico";"Diseña Esferas Geométricas con el molde Esfera 7cm de Silicona para encapsular | Advance Coat";"Advance Coat";SI;;;;
molde-silicona-porta-velas-mandala-simple-10zbf;"Molde Silicona Porta Velas - Mandala Simple";;;;;;;;7,500.00;7,000.00;0.15;9.00;9.00;0.50;10;"Mandala Simple";;SI;NO;;"mandala, molde, molde porta velas resina, Molde Silicona Mandala, porta velas, silicona";"Molde Silicona Porta Velas Mandala | Advance Coat";"Molde silicona porta velas mandala con diseño calado. Multiuso: resina, yeso y cemento. ";"Advance Coat";SI;;;;0.00
molde-silicona-mini-flores-charms-dijes-y-accesorios-e889j;"Molde Silicona Mini Flores- Charms, Dijes y Accesorios";;Modelo;Tulipanes;;;;;6,000.00;5,500.00;0.10;0.00;0.00;0.00;10;"Mini flores Tulipanes";;SI;NO;;"bijouterie, charms, flores, molde, silicona";"Molde Silicona Mini Flores Para Resina | Advance Coat";"Molde silicona mini flores girasol con detalle y brillo espejo. Ideal para charms, dijes y accesorios. ¡Comprá ya y crea piezas únicas!";"Advance Coat";SI;;;;0.00
molde-silicona-mini-flores-charms-dijes-y-accesorios-e889j;;;Modelo;"Margaritas rosas";;;;;6,000.00;5,500.00;0.10;0.00;0.00;0.00;10;"Mini flores marg rosas";;;;;;;;;;;;;0.00
molde-silicona-mini-flores-charms-dijes-y-accesorios-e889j;;;Modelo;Girasol;;;;;6,000.00;5,500.00;0.10;0.00;0.00;0.00;10;"Mini flores Girasoles";;;;;;;;;;;;;0.00
molde-silicona-aritos-y-dijes-bijouterie-artesanal-16r9b;"Molde Silicona Aritos y Dijes - Bijouterie Artesanal";;;;;;;;6,500.00;6,000.00;0.00;0.00;0.00;0.00;10;"Aritos Arco U";;SI;NO;;"aros, aros artesanales resina, aros artesanales resina epoxi, bijouterie, dijes, molde, molde aritos resina, molde aritos resina epoxi, molde dijes Silicona, Molde Silicona Bijouterie, silicona";"Molde Silicona Aritos y Dijes | Advance Coat";"Molde flexible y premium para aritos y dijes con acabado brillante. Ideal para emprendedoras en bijouterie. ¡Comprá ya y crea piezas únicas!";"Advance Coat";SI;;;;0.00
molde-silicona-porta-velas-loto-decoracion-espiritual-para-velas-ena7t;"Molde Silicona Porta Velas Loto - Decoración Espiritual Para velas";;;;;;;;7,500.00;7,000.00;0.10;9.00;9.00;4.50;15;"Porta velas flor de loto";;SI;NO;;"decoración, loto, molde, porta velas, silicona";"Molde Silicona Porta Velas Flor de Loto | Advance Coat";;"Advance Coat";SI;;;;0.00
molde-silicona-jabonera-para-decoracion-velas-y-cuenco-1a43p;"Molde Silicona Jabonera - Para Decoracion Velas y Cuenco";;;;;;;;8,500.00;8,000.00;0.00;8.80;15.00;3.40;10;"Molde Jabonera";;SI;NO;;"cuenco decorativo resina, decoracion, jabonera, molde, molde bandeja ovalada, molde cuenco resina epoxi, molde jabonera resina, silicona, velas";"Molde Silicona Jabonera Cuenco y Vela | Advance Coat";;"Advance Coat";SI;;;;0.00
molde-silicona-taza-de-te-estilo-vintage-para-bijouterie-y-deco-491hw;"Molde Silicona Taza de Té - Estilo Vintage Para Bijouterie y Deco";;;;;;;;8,500.00;8,000.00;0.00;9.00;9.00;3.80;10;"Taza Te";;SI;NO;;"decoración miniatura resina, molde mini tacita resina, molde resina epoxi patitas, Molde silicona para yeso, Molde silicona resina, molde taza té resina, molde vintage resina epoxi, taza té silicona";"Molde Silicona Mini Taza de Té Para Resina | Advance Coat";;"Advance Coat";SI;;;;0.00
molde-silicona-animalitos-kawaii-dijes-y-charms-1n3zv;"Molde Silicona Animalitos Kawaii - Dijes y Charms";;;;;;;;6,500.00;6,000.00;0.15;11.00;26.00;1.00;11;"Molde Animales";;SI;NO;;"dijes animalitos resina, molde 15 cavidades, molde animalitos resina, molde kawaii resina epoxi, molde osos conejos, molde silicona kawaii, molde variado charms";"Molde Silicona 15 Animalitos Kawaii Para Resina | Advance Coat";;"Advance Coat";SI;;;;0.00
molde-silicona-bandeja-flor-petalo-decoracion-premium-en-resina-fqzo2;"Molde Silicona Bandeja Flor - Decoración Premium";;;;;;;;6,500.00;6,000.00;0.11;11.00;11.00;1.00;20;"Bandeja Flor";;SI;NO;;"Bandeja Cemento, bandeja decorativa resina, Bandeja Porcelana Fria, bandeja resina, Bandeja Yeso, molde bandeja, molde bandeja flor resina, molde bandeja pétalos, molde bandeja resina epoxi, molde silicona premium, regalos premium resina";"Molde Silicona Bandeja Flor Para Resina | Advance Coat";;"Advance Coat";SI;;;;0.00
imagen-de-soles-para-agregar-a-tus-trabajos-archivo-digital-xo1m4;"Imagen de Soles Para Agregar a Tus Trabajos - Archivo Digital";"Arma Tu Propia Funda  > Adornos - Charms, Arma Tu Propia Funda  > Herramientas, Extras Para Resina";;;;;;;2,500.00;0.01;0.00;0.00;0.00;0.00;;"archivo soles";;SI;NO;;"sol, sol para imprimir, soles";;;;NO;;;;0.00
molde-silicona-huesitos-chyapitas-y-dijes-para-amantes-de-perros-17w7v;"Molde Silicona Huesitos - Chapitas y Dijes Para Amantes de Perros";;;;;;;;6,000.00;5,500.00;0.20;20.00;10.00;1.50;15;Huesitos;;SI;NO;;;"Molde Silicona Huesito Perro Para Resina | Advance Coat";;"Advance Coat";SI;;;;0.00
molde-silicona-porta-velas-mandala-doble-6tyla;"Molde Silicona Porta Velas - Mandala Doble";;;;;;;;8,500.00;8,000.00;0.00;9.50;9.50;2.00;15;"Mandala Doble";;SI;NO;;"decoración, mandala, Molde Silicona Mandala, porta velas, resina, silicona";"Molde Silicona Porta Velas Mandala Para Resina | Advance Coat";"Molde silicona porta velas mandala doble con diseño calado. Multiuso: resina, yeso y cemento. ";"Advance Coat";SI;;;;0.00
molde-silicona-letras-medianas-llaveros-y-dijes-con-nombre-1ladi;"Molde Silicona Letras Medianas - Llaveros y Dijes Con Nombre";;;;;;;;9,000.00;8,500.00;0.00;17.50;17.50;0.50;70;"Letras Medianas";;SI;NO;;"dije con nombre resina, llavero con nombre resina, molde abecedario resina epoxi, molde alfabeto resina, molde letra silicona, molde letras llavero, molde letras resina, souvenir con nombre";"Molde Silicona Letras Para Llaveros Con Nombre | Advance Coat";;"Advance Coat";SI;;;;0.00
molde-silicona-tapa-agenda-cuaderno-anotador-para-resina-epoxi-1fb73;"Molde Silicona Tapa Agenda Cuaderno Anotador Para Resina Epoxi";;;;;;;;8,000.00;7,500.00;0.10;13.00;9.20;1.00;10;"Molde Agenda";;SI;NO;;;"Molde Silicona Tapa Agenda Para Resina | Advance Coat";;"Advance Coat";SI;;;;0.00
molde-silicona-8-circulos-dijes-colgantes-y-llaveros-124cf;"Molde Silicona 8 Círculos - Dijes, Colgantes y Llaveros";;;;;;;;8,500.00;8,000.00;0.10;6.50;16.00;1.00;15;"8 Círuclos";;SI;NO;;"dijes personalizados resina, molde círculos resina, molde colgantes resina epoxi, molde dijes resina, molde encapsular flores, molde fotos resina, molde llaveros círculo, molde redondo silicona";"Molde Silicona Círculos Para Dijes y Llaveros | Advance Coat";"? Molde silicona círculos para resina epoxi. El más versátil: encapsulá flores, fotos y recuerdos. Dijes, colgantes y llaveros.";"Advance Coat";SI;;;;0.00
molde-silicona-patitas-gatito-llaveros-y-dijes-para-tus-mascotas-prs2j;"Molde Silicona Patitas Gatito - Llaveros y Dijes Para Tus Mascotas";;;;;;;;7,500.00;7,000.00;0.10;11.00;10.00;1.00;50;"Molde Gatitos";;SI;NO;;"bijouterie mascotas, chapitas gato, molde dije gatito, molde huellas gato resina, molde kawaii gato, molde llavero gato, molde mascotas resina, molde patitas gato, molde resina epoxi patitas, molde silicona, molde silicona para resina, molde silicona premium";"Molde Silicona Patitas Gatito Para Resina | Advance Coat";;"Advance Coat";SI;;;;0.00
porta-vela-flor-1oduj;"Molde Silicona Porta Velas Flor - Decoración Botánica Premium";;;;;;;;7,500.00;7,000.00;0.10;9.20;8.70;2.20;50;"Porta Velas Flor";;SI;NO;;"molde centro de mesa, molde decoración botánica, molde día de la madre, molde flor cemento, molde porta velas flor, molde porta velas resina, molde porta velas yeso, molde resina epoxi, molde resina epoxi flor, Molde Silicona flor, molde silicona para resina epoxi, molde silicona premium, porta velas artesanal";"Molde Silicona Porta Velas Flor | Advance Coat";;;SI;;;;0.00
